사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,방지시설연간가동일수,방지시설조업시간,배출시설연간가동일수,배출시설조업시간,업종명,종별명,주생산품명,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
대구환경공단서부사업소,20151116,운영중,,,,,,,,,,"하수, 폐수 및 분뇨 처리업",4종,,대기배출업소관리,대구광역시 달서구 대천동 770번지,대구광역시 달서구 달서대로 210 (대천동),
조은이피에스,20151116,폐업 등,20160621,,,,,,,,,플라스틱 발포 성형제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-11번지,대구광역시 달서구 달서대로94길 35 (갈산동),
(주)글로리아,20151117,운영중,,,,,,,,,,예식장업,5종,,대기배출업소관리,대구광역시 달서구 유천동 360-1번지,대구광역시 달서구 월배로5길 16 (유천동),
영일금속,20170517,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 1070번지,대구광역시 북구 노원로40길 7-14 (침산동),
(주)동양엘앤피,20160302,운영중,,,,,,,,,,기타 인쇄업,5종,,대기배출업소관리,,대구광역시 달서구 성서공단로 94 (월암동),
새대구자동차정비,20171206,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 동구 신서동 639-13번지,대구광역시 동구 안심로69길 18 (신서동),
(주)우창케미칼,20180104,운영중,,,,,,,,,,"플라스틱 필름, 시트 및 판 제조업",5종,,대기배출업소관리,대구광역시 달서구 월암동 1021번지,대구광역시 달서구 성서공단로58길 16 (월암동),
오리엔트 세라믹,20160510,운영중,,,,,,,,,,산업용 도자기 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서공단로55길 27 (장동),
마운틴메탈,20170414,운영중,,,,,,,,,,선철주물 주조업,4종,,대기배출업소관리,대구광역시 달성군 논공읍 본리리 29-122번지,대구광역시 달성군 논공읍 논공로 552,
유림공업(주),20151201,운영중,,,,,,,,,,선박 구성부분품 제조업,5종,,대기배출업소관리,대구광역시 북구 산격동 26-2번지,"대구광역시 북구 검단북로2길 32 (산격동, 외 2필지)",
(주)푸드웰,20151202,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 방촌동 1093번지,대구광역시 동구 동촌로 260 (방촌동),
대구파티마병원,20151202,운영중,,,,,,,,,,종합 병원,5종,,대기배출업소관리,대구광역시 동구 신암동 576-31번지,대구광역시 동구 아양로 99 (신암동),
동아에스티(주) 달성공장,20170531,운영중,,,,,,,,,,생물학적 제제 제조업,4종,,대기배출업소관리,대구광역시 달성군 논공읍 본리리 29-40번지,대구광역시 달성군 논공읍 논공로 493,
(주)대구분체산업,20170622,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,,대구광역시 달서구 달서대로58길 96 (대천동),
성진분체,20170622,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 북구 산격동 20-11번지,대구광역시 북구 검단북로2길 24 (산격동),
대신지하상가관리소,20151211,운영중,,,,,,,,,,,5종,,대기배출업소관리,,"대구광역시 중구 국채보상로 지하 470 (대신동, 대신지하상가)",
국일고주파열처리,20151214,운영중,,,,,,,,,,금속 열처리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 626-6번지,대구광역시 북구 팔달북로 69 (노원동3가),
(주)대명ENG,20170718,운영중,,,,,,,,,,산업용 로봇 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서로 135 (월암동),
(주)선영,20151216,운영중,,,,,,,,,,,5종,,대기배출업소관리,,대구광역시 수성구 범어로 9 (범어동),
유광금속,20170314,운영중,,,,,,,,,,도장및기타피막처리업,5종,,대기배출업소관리,대구광역시 서구 비산동 2001-39번지,대구광역시 서구 염색공단천로6길 4-1 (비산동),
한국교직원공제회 대구회관,20151216,운영중,,,,,,,,,,,5종,,대기배출업소관리,,대구광역시 수성구 동대구로 334 (범어동),
여양산업(주),20151216,운영중,,,,,,,,,,,5종,,대기배출업소관리,,"대구광역시 수성구 화랑로 46 (만촌동, 성원넥서스)",
안심모터스,20160419,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 동호동 108-3번지,대구광역시 동구 안심로55길 17 (동호동),
(주)창대기업,20151005,운영중,,,,,,,,,,지정외 폐기물 처리업,5종,,대기배출업소관리,대구광역시 달성군 논공읍 위천리 478-1번지,대구광역시 달성군 논공읍 성산로 1221,
대구광역시근로복지회관,20151109,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 달서구 호산동 707-3번지,대구광역시 달서구 성서공단북로 132 (호산동),
(주)알리앙스,20151109,운영중,,,,,,,,,,예식장업,5종,,대기배출업소관리,대구광역시 달서구 감삼동 141-5번지,대구광역시 달서구 와룡로 190 (감삼동),
화성RP산업,20160621,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 98-41번지,대구광역시 동구 안심로53길 54 (동호동),
세일RT,20160621,폐업 등,20170526,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 98-41번지,대구광역시 동구 안심로53길 54 (동호동),
바다섬유,20161018,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,,대구광역시 서구 염색공단중앙로 59 (비산동),
(주)대영알앤티,20160217,운영중,,,,,,,,,,도장및기타피막처리업,5종,,대기배출업소관리,,대구광역시 달서구 성서공단북로77길 29 (장동),
드림시티스포츠센터,20151030,운영중,,,,,,,,,,기타 운동시설 운영업,4종,,대기배출업소관리,대구광역시 달서구 감삼동 521번지,"대구광역시 달서구 와룡로 143 (감삼동, 우방드림시티아파트)",
대구도시철도공사(문양차량기지),20151104,운영중,,,,,,,,,,도시철도 운송업,5종,,대기배출업소관리,대구광역시 달성군 다사읍 문양리 400번지,대구광역시 달성군 다사읍 달구벌대로 431 (대구지하철 2호선),
대구광역시 동부여성문화회관,20151104,운영중,,,,,,,,,,,4종,,대기배출업소관리,,"대구광역시 동구 신암북로11길 54-2 (신암동, 대구광역시동부여성문화회관)",
영호연마,20151030,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 침산동 899-5번지,대구광역시 북구 노원로37길 16-1 (침산동),
대양산업,20151102,운영중,,,,,,,,,,그외 기타 금속가공업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 547-16번지,대구광역시 북구 팔달로7길 14-6 (노원동3가),
리치코리아(유),20151102,운영중,,,,,,,,,,액상시유 및 기타 낙농제품 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 내리 847-15번지,대구광역시 달성군 구지면 달성2차4로 37,
이래산업사,20161212,폐업 등,20170609,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,,대구광역시 달서구 성서로67안길 38 (이곡동),
창진실업,20160309,폐업 등,20160920,,,,,,,,,도장및기타피막처리업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-193번지,대구광역시 달서구 성서공단북로77길 29 (장동),
이도도금,20160309,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1136-1번지,대구광역시 북구 노원동로11길 7-6 (노원동3가),
웰빙정비공장,20160309,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1043번지,대구광역시 북구 노원로 104 (노원동3가),
동성고무,20160315,폐업 등,20171011,,,,,,,,,고무제품 제조업,5종,,대기배출업소관리,대구광역시 북구 침산동 750-5번지,대구광역시 북구 침산로 288-5 (침산동),
(주)에이앤티,20160329,운영중,,,,,,,,,,주형 및 금형 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 914-11번지,대구광역시 달서구 성서로 136 (월암동),
우영금속,20160510,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 1076-13번지,대구광역시 북구 노원로42길 26-30 (침산동),
에이스코팅,20160126,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 산격동 628-18번지,대구광역시 북구 연암로42길 42-4 (산격동),
광장케이에스(KS),20151112,폐업 등,20171120,,,,,,,,,부동산업,5종,,대기배출업소관리,대구광역시 달서구 두류동 494-2번지,대구광역시 달서구 달구벌대로 1698 (두류동),
동재산업,20151112,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 달서구 대천동 528번지,대구광역시 달서구 조암남로19길 22 (대천동),
(주)조은이피에스,20160713,운영중,,,,,,,,,,플라스틱 발포 성형제품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서로5길 65 (대천동),
성진분체,20160713,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1103-3번지,대구광역시 북구 노원로26길 12 (노원동3가),
아트정비공장,20160713,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,,대구광역시 서구 북비산로 42 (이현동),
