사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,방지시설연간가동일수,방지시설조업시간,배출시설연간가동일수,배출시설조업시간,업종명,종별명,주생산품명,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
대영산업,20080325,운영중,,,,,,,,,,자동차부품 제조업,4종,,대기배출업소관리,대구광역시 달서구 장동 333-5번지,대구광역시 달서구 성서동로53안길 16 (장동),
남대구종합정비(구 더블유모터스,20080327,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 달서구 대천동 1016번지,대구광역시 달서구 성서4차첨단로 300  (대천동),
세신금속(주),19920601,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-12번지,대구광역시 달서구 성서공단로25길 45 (갈산동),
(주)동아유압기계,20080411,폐업 등,20130924,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 장동 333-27번지,대구광역시 달서구 성서공단북로69길 5  (장동),
지인하이테크,20080514,폐업 등,20110111,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-77번지,대구광역시 달서구 성서공단북로 341  (갈산동),
(주)구상모터스,20080624,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1107-9번지 2필지,"대구광역시 달서구 성서4차첨단로 182 (월암동,2필지)",
명일폼테크 제2공장,20080627,운영중,,,,,,,,,,플라스틱 발포 성형제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 931-3번지,대구광역시 달서구 성서동로 91 (월암동),
(주)엘앤에프,20080627,운영중,,,,,,,,,,액정표시장치 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1110번지,대구광역시 달서구 성서4차첨단로 136 (월암동),
주식회사 이엘,20080722,운영중,,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-172번지,대구광역시 달서구 달구벌대로250길 70 (갈산동),
(주)현대테크,20080729,폐업 등,20090508,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 대천동 720번지,대구광역시 달서구 성서로 37  (대천동),
대일자동차정비(뉴천일***),20040623,폐업 등,20080808,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 달서구 장동 829번지,,
(주)아세아스틸,20080813,운영중,,,,,,,,,,금속 조립구조재 제조업,5종,,대기배출업소관리,대구광역시 달서구 파호동 91-9번지,대구광역시 달서구 성서공단북로3길 25-12  (파호동),
(주)혜창,20080819,폐업 등,20150112,,,,,,,,,커튼 및 유사제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 신당동 319-1번지,대구광역시 달서구 달구벌대로240길 11 (신당동),
네오모터스,20080902,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 달서구 장기동 636번지,대구광역시 달서구 문화회관5길 36  (장기동),
승진정밀,20080912,운영중,,,,,,,,,,기타 가공공작기계 제조업,5종,,대기배출업소관리,대구광역시 달서구 파호동 92-3번지,대구광역시 달서구 성서공단북로3길 32  (파호동),
태성산업,20080926,폐업 등,20110411,,,,,,,,,자동차부품 제조업,5종,,대기배출업소관리,대구광역시 달서구 장동 333-5번지,대구광역시 달서구 성서동로53안길 16  (장동),
대구환경공단,20080715,운영중,,,,,,,,,,사업시설 유지관리 서비스업,5종,,대기배출업소관리,대구광역시 달서구 대천동 770번지,대구광역시 달서구 달서대로 210 (대천동),
대기도금,19870112,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1073-2번지,대구광역시 북구 노원동로3길 59-1 (노원동3가),
주식회사 상록화학,19840518,폐업 등,20150624,,,,,,,,,,5종,,대기배출업소관리,대구광역시 북구 침산동 996번지,대구광역시 북구 노원로39길 33 (침산동),
(주)보광산업,19890130,운영중,,,,,,,,,,레미콘 제조업,4종,,대기배출업소관리,대구광역시 북구 산격동 338-12번지,대구광역시 북구 유통단지로3길 40 (산격동),
"상우정공(구,우경산업)",19840210,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 북구 노원동3가 207-4번지,대구광역시 북구 팔달북로8길 63 (노원동3가),
신광산업,20001219,폐업 등,20111230,,,,,,,,,기타 금속처리업,3종,,대기배출업소관리,대구광역시 북구 침산동 921번지,대구광역시 북구 침산로67길 56  (침산동),
해성플레이팅,20040709,폐업 등,20090218,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 789번지,대구광역시 북구 침산로67길 3  (침산동),
덕산패션,19990927,폐업 등,20110708,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 181-16번지,,
(주)고려금속,19990825,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1122-3번지,대구광역시 북구 노원동로7길 14 (노원동3가),
(주)태창섬유제2공장,20021204,폐업 등,20120410,,,,,,,,,기타 섬유제품 제조업,2종,,대기배출업소관리,대구광역시 북구 노원동3가 708번지,대구광역시 북구 팔달북로 27  (노원동3가),
태성도금,20020612,폐업 등,20130318,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 193-2번지,대구광역시 북구 3공단로25길 19 (노원동3가),
동서켐테크,20020523,폐업 등,20081212,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 151번지,대구광역시 북구 노원로23길 9  (노원동3가),
남영P&A,20050420,폐업 등,20120504,,,,,,,,,조립금속제품 제조업 기계 및 가구 제외,5종,,대기배출업소관리,대구광역시 북구 노원동3가 617-1번지,대구광역시 북구 팔달로13길 15  (노원동3가),
영남주물공업(주),19840210,운영중,,,,,,,,,,금속 주조업,2종,,대기배출업소관리,대구광역시 북구 노원동3가 234번지,대구광역시 북구 노원로9길 12 (노원동3가),
(주)서울열처리,19861008,운영중,,,,,,,,,,기타 조립금속제품 제조 및 금속처리업,5종,,대기배출업소관리,대구광역시 북구 침산동 1026-3번지,대구광역시 북구 노원로 200 (침산동),
나노모터스(구.차고치는사람들),20040605,폐업 등,20120427,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 202-2번지,대구광역시 북구 3공단로 136  (노원동3가),
화랑PLUS,20060426,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 47-6번지,대구광역시 북구 3공단로 198-3  (노원동3가),
소림,20060502,폐업 등,20090928,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 47-6번지,대구광역시 북구 3공단로 198-3  (노원동3가),
은광산업,20060609,운영중,,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 51-5번지,대구광역시 북구 3공단로 204-5 (노원동3가),
대경도금공업사,20060921,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 406번지,대구광역시 북구 3공단로14길 30 (노원동3가),
부현칼라텍,20061019,운영중,,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1039-1번지,대구광역시 북구 노원동로3길 5 (노원동3가),
C.G패션,20061211,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1155번지,대구광역시 북구 노원로26길 30 (노원동3가),
동아산업,20070126,폐업 등,20170517,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 1070번지,대구광역시 북구 노원로40길 7-14 (침산동),
한우리종합자동차정비,20070320,폐업 등,20140207,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,"대구광역시 북구 노원동3가 51-2, 51-6번지",,
남양금속,20070427,폐업 등,20131129,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 침산동 766번지,대구광역시 북구 침산로 297  (침산동),
켄스코 주식회사 2공장,20060412,폐업 등,20180201,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 74-24번지,대구광역시 북구 노원로1길 137-1 (노원동3가),
진아금속도금,20031031,폐업 등,20101202,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 230-3번지,대구광역시 북구 노원로1길 86  (노원동3가),
(주)태영산업 2공장,20040108,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 494-2번지,대구광역시 북구 팔달로1길 8 (노원동3가),
영강금속(주),20030224,운영중,,,,,,,,,,기타 조립금속제품 제조 및 금속처리업,4종,,대기배출업소관리,대구광역시 북구 검단동 777-71번지,,
대원자동차정비공업사,19920314,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 477번지,대구광역시 북구 팔달북로18길 29 (노원동3가),
보원칠공사,20020417,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 북구 산격동 632-8번지,,
청안도금,19840210,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 1501번지,대구광역시 북구 침산남로7길 40 (침산동),
코리아패션,20001229,운영중,,,,,,,,,,조립금속제품 제조업 기계 및 가구 제외,5종,,대기배출업소관리,대구광역시 북구 노원동3가 40-3번지,대구광역시 북구 노원로1길 164-1 (노원동3가),
삼신농기구공업사,19920714,운영중,,,,,,,,,,톱 및 호환성공구 제조업,5종,,대기배출업소관리,대구광역시 북구 침산동 1119-1번지,대구광역시 북구 오봉로22길 29-10 (침산동),
월성라이팅,20020419,폐업 등,20160418,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 4번지,대구광역시 북구 3공단로47길 16 (노원동3가),
대현테크,19870320,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 997번지,대구광역시 북구 노원로39길 37 (침산동),
진흥염직,19990412,폐업 등,20120828,,,,,,,,,기타 섬유 염색 및 정리업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 629번지,대구광역시 북구 팔달로13길 14 (노원동3가),
한둘텍,20040708,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 395-7번지,대구광역시 북구 3공단로10길 50 (노원동3가),
대구도금,19840210,폐업 등,20081106,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 176-1번지,,
영일금속,19840210,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 1042-4번지,대구광역시 북구 노원로42길 7-2 (침산동),
우정산업,20040720,폐업 등,20111222,,,,,,,,,기타 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 북구 검단동 887-76번지,대구광역시 북구 검단공단로 48 (검단동),
(주)동진도금,19990820,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 1064-13번지,대구광역시 북구 노원로40길 8-11 (침산동),
창일모터스,20021224,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1115번지,대구광역시 북구 노원동로 29 (노원동3가),
주식회사 제세나노텍,20041004,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 1066-2번지,대구광역시 북구 노원로40길 10 (침산동),
대호도장,20041011,운영중,,,,,,,,,,기타 금속처리업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1202-2번지,대구광역시 북구 오봉로 151  (노원동3가),
(주)홍성무역,19930608,폐업 등,20070809,,,,,,,,,,1종,,대기배출업소관리,대구광역시 북구 노원동3가 56-11번지,,
금오섬유,20041209,폐업 등,20121117,,,,,,,,,,5종,,대기배출업소관리,대구광역시 북구 노원동3가 38-2번지,대구광역시 북구 노원로1길 154  (노원동3가),
자동차도우미,20011224,폐업 등,20150716,,,,,,,,,,4종,,대기배출업소관리,대구광역시 북구 산격동 14-149번지,대구광역시 북구 유통단지로13길 46 (산격동),
한창도금,19981113,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 227-9번지,대구광역시 북구 노원로1길 98-1 (노원동3가),
"동일산업(구,동명기술산업사)",19950413,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 6-2번지,대구광역시 북구 3공단로47길 3 (노원동3가),
완일화학(구.완일약품상사),20001030,폐업 등,20101001,,,,,,,,,,5종,,대기배출업소관리,대구광역시 북구 노원동3가 472-1번지,,
대건분체,20050427,운영중,,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1109-2번지,대구광역시 북구 노원동로7길 7-14 (노원동3가),
고려칼라,20060421,폐업 등,20140115,,,,,,,,,기타 제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 684-3번지,대구광역시 북구 팔달로 99 (노원동3가),
대명산업,20060628,폐업 등,20111031,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 492번지,대구광역시 북구 팔달로1길 18  (노원동3가),
엠에스티(대구사업장),20060628,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1082번지,대구광역시 북구 노원동로3길 35 (노원동3가),
진영금속,20030521,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 785번지,대구광역시 북구 침산로67길 13 (침산동),
유니크옵틱,20050609,폐업 등,20150403,,,,,,,,,안경 제조업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 1206-7번지,대구광역시 북구 노원로 165-12 (노원동3가),
화랑산업,20061208,폐업 등,20160418,,,,,,,,,기타 금속처리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 208-5번지,대구광역시 북구 팔달북로8길 67 (노원동3가),
한영모터스,19841012,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 380-4번지 외1필지,"대구광역시 북구 팔달북로2길 9 (노원동3가,외1필지)",
우성산업,19870406,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 침산동 1010-2번지,대구광역시 북구 노원로39길 7 (침산동),
(주)비에스지,19841211,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 20-1번지,대구광역시 북구 3공단로48길 6 (노원동3가),
(주)극동1급정비공장,19940517,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 231번지,대구광역시 북구 노원로1길 76 (노원동3가),
성림산업,20050419,운영중,,,,,,,,,,기타 금속처리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 46-2번지,대구광역시 북구 노원로1길 157-4 (노원동3가),
이오토스정비,20090202,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 503번지,대구광역시 북구 팔달로 7 (노원동3가),
코스코,20090206,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 245-9번지 A동,"대구광역시 북구 3공단로 89 (노원동3가,A동)",
유일테크,20090227,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 북구 노원동3가 187-58번지,대구광역시 북구 3공단로27길 30 (노원동3가),
청조환경(주),20081007,폐업 등,20100416,,,,,,,,,폐기물 처리업,5종,,대기배출업소관리,대구광역시 달서구 장기동 655-1번지 외 3필지,"대구광역시 달서구 문화회관5길 81  (장기동,외 3필지)",
청조환경(주),20081010,폐업 등,20081010,,,,,,,,,폐기물 처리업,5종,,대기배출업소관리,대구광역시 달서구 장기동 655-1번지 외 3필지,"대구광역시 달서구 문화회관5길 81  (장기동,외 3필지)",
(주)세안정기,20081010,운영중,,,,,,,,,,차체 및 특장차 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 925-15번지,대구광역시 달서구 성서로24길 32  (월암동),
(주)케이엠텍,19930311,폐업 등,20091216,,,,,,,,,,5종,,대기배출업소관리,대구광역시 달서구 장동 21번지,대구광역시 달서구 문화회관9길 40  (장동),
(주)동림엠에스,20081015,운영중,,,,,,,,,,비금속광물제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-159번지,대구광역시 달서구 성서공단북로59길 24  (갈산동),
(주)티피엠 대천지점,20081103,폐업 등,20081103,,,,,,,,,화합물 및 화학제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 614-1번지,대구광역시 달서구 성서공단남로10길 20  (대천동),
GEMPAL,20081105,폐업 등,20131023,,,,,,,,,가정용 살균 및 살충제 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1072번지,대구광역시 달서구 성서공단로50길 21 (월암동),
(주)더몰론코리아 대구지점,20081110,폐업 등,20101202,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-65번지,대구광역시 달서구 성서로64길 25  (갈산동),
대경섬유,20081124,운영중,,,,,,,,,,기타 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 장동 333-3번지,대구광역시 달서구 성서공단북로77길 27 (장동),
덕흥산업,20081202,운영중,,,,,,,,,,금속단조제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 대천동 617-1번지,대구광역시 달서구 달서대로64길 35 (대천동),
(주)이온본드코리아,20081216,운영중,,,,,,,,,,기타 금속가공제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 1008번지,대구광역시 달서구 성서4차첨단로 39 (대천동),
폴리켐코리아,20090119,폐업 등,20121030,,,,,,,,,고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 호산동 702-15번지,대구광역시 달서구 달서대로95길 111 (호산동),
(주)티.피.엠 대천지점,20090206,운영중,,,,,,,,,,화합물 및 화학제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 614-1번지,대구광역시 달서구 성서공단남로10길 20 (대천동),
영진하우징(주),20090402,폐업 등,20180330,,,,,,,,,비금속광물제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-90번지,대구광역시 달서구 성서서로 131 (갈산동),
필캠,20090420,폐업 등,20110512,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-111번지,대구광역시 달서구 성서공단로35길 42  (갈산동),
(주)진부,20090508,폐업 등,20100209,,,,,,,,,산업용 비경화고무제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 월암동 1-211번지,대구광역시 달서구 성서서로 74  (월암동),
(주)무한기술,20090511,폐업 등,20150520,,,,,,,,,일반목적용 기계 제조업,5종,,대기배출업소관리,대구광역시 달서구 호산동 702-5번지,대구광역시 달서구 달서대로95길 91 (호산동),
세원텍스(주),20081211,운영중,,,,,,,,,,기타 섬유제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 장동 306-101번지,대구광역시 달서구 성서공단로51길 7 (장동),
(주)파인크로,20090522,폐업 등,20180514,,,,,,,,,산업용 비경화고무제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 월암동 929-6번지,대구광역시 달서구 성서공단남로36길 17 (월암동),
STX중공업(주),20090525,운영중,,,,,,,,,,기타 조립금속제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 호산동 357-75번지,대구광역시 달서구 달서대로 533 (호산동),
씨에스분체,20090529,운영중,,,,,,,,,,도장및기타피막처리업,4종,,대기배출업소관리,대구광역시 달서구 대천동 590-3번지,대구광역시 달서구 성서서로 6 (대천동),
(주)미주테크,20090625,폐업 등,20111216,,,,,,,,,자동차부품 제조업,4종,,대기배출업소관리,대구광역시 달서구 파호동 205-7번지,대구광역시 달서구 성서공단북로2길 63  (파호동),
금성정밀2공장,19941004,폐업 등,20110711,,,,,,,,,고무 및 플라스틱제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 623번지,대구광역시 달서구 성서공단남로10길 5  (대천동),
동문산업(주) 성서공장,19970911,폐업 등,20091218,,,,,,,,,기타 섬유제품 제조업,2종,,대기배출업소관리,대구광역시 달서구 장동 317-1번지,대구광역시 달서구 성서동로 235  (장동),
두성자동차정비,20090805,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 달서구 장동 20-2번지,대구광역시 달서구 문화회관7길 57 (장동),
㈜아이씨케이,20090807,운영중,,,,,,,,,,전자카드 제조업,5종,,대기배출업소관리,대구광역시 달서구 호림동 3-12번지,대구광역시 달서구 호산동로7길 17  (호림동),
(주)시엘씨파이켐,20090807,폐업 등,20140528,,,,,,,,,액정표시장치 제조업,4종,,대기배출업소관리,대구광역시 달서구 호림동 9-5번지,,
케이시시정공(주),20090909,폐업 등,20111206,,,,,,,,,기체 펌프 및 압축기 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-87번지,대구광역시 달서구 성서서로25길 14  (갈산동),
오성테크,20090915,폐업 등,20101115,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 976-6번지,대구광역시 달서구 성서공단북로65길 60  (갈산동),
동원자동차정비공장,20091001,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 달서구 장기동 655-5번지,대구광역시 달서구 문화회관6길 72 (장기동),
(주)청우에스아이 2공장,20091005,폐업 등,20150304,,,,,,,,,기타 전자부품 제조업,2종,,대기배출업소관리,대구광역시 달서구 월암동 1-202번지,대구광역시 달서구 성서로35길 26 (월암동),
(주)로얄정공,20091021,운영중,,,,,,,,,,"탭, 밸브 및 유사장치 제조업",5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-81번지,대구광역시 달서구 성서공단로25길 6 (갈산동),
대교비철알로이주식회사,20091022,운영중,,,,,,,,,,"동 압연, 압출 및 연신제품 제조업",5종,,대기배출업소관리,대구광역시 달서구 대천동 601-11번지,대구광역시 달서구 성서로5길 40 (대천동),
(주)대호분체산업,20091026,운영중,,,,,,,,,,도장및기타피막처리업,4종,,대기배출업소관리,대구광역시 달서구 갈산동 366-1번지,대구광역시 달서구 성서서로 175 (갈산동),
대한에스엔피,20091113,폐업 등,20131126,,,,,,,,,재생용 비금속가공원료 생산업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 358-180번지,대구광역시 달서구 성서공단로35길 28 (갈산동),
(주)부림에프엠비(FMB),20091207,운영중,,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1-208번지,대구광역시 달서구 성서서로 72 (월암동),
남대구서비스,20091207,폐업 등,20091207,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 달서구 장동 78-6번지,대구광역시 달서구 성서공단로61길 12  (장동),
구일종합정비(주),20091210,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 100-69번지,대구광역시 달서구 성서로 302 (갈산동),
인터테크(주),20091221,폐업 등,20120406,,,,,,,,,그외 기타 분류 안된 특수목적용 기계 제조업,4종,,대기배출업소관리,대구광역시 달서구 월암동 1-196번지,대구광역시 달서구 성서로36길 12  (월암동),
(주)신화엔바텍,20091221,폐업 등,20151215,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 신당동 348-6번지,대구광역시 달서구 성서서로51길 23 (신당동),
라임특수기모,20091223,폐업 등,20111121,,,,,,,,,기타 섬유제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 갈산동 358-177번지,대구광역시 달서구 성서서로25안길 32  (갈산동),
태양산업,20100106,운영중,,,,,,,,,,수동식 식품 가공기기 및 금속주방용기 제조업,5종,,대기배출업소관리,대구광역시 달서구 장동 333-13번지,대구광역시 달서구 성서공단북로77길 11 (장동),
유한회사 대구특수금속 3공장,20100202,폐업 등,20160712,,,,,,,,,인쇄업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 26-1번지,대구광역시 달서구 성서공단북로69길 32 (갈산동),
리빙뷰,20100217,운영중,,,,,,,,,,수동식 식품 가공기기 및 금속주방용기 제조업,5종,,대기배출업소관리,대구광역시 달서구 호림동 5번지,대구광역시 달서구 호산동로1길 33 (호림동),
대진테크,20100311,폐업 등,20120109,,,,,,,,,고무제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 월암동 1-211번지,대구광역시 달서구 성서서로 74  (월암동),
화진금속,20100316,폐업 등,20150108,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 파호동 91-24번지,대구광역시 달서구 성서공단북로3길 15 (파호동),
태극자동차공업사,20091229,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 달서구 장기동 639-3번지,대구광역시 달서구 문화회관5길 48 (장기동),
금강테크(주) 성서지점,20100408,운영중,,,,,,,,,,도장및기타피막처리업,4종,,대기배출업소관리,대구광역시 달서구 장동 404-38번지,대구광역시 달서구 성서공단로47길 36-6 (장동),
(주)동진하이텍,20100412,운영중,,,,,,,,,,그외 기타 특수목적용 기계 제조업,5종,,대기배출업소관리,대구광역시 달서구 장동 306-25번지,대구광역시 달서구 성서동로45길 14  (장동),
금호인더스트리(주),20100422,폐업 등,20111005,,,,,,,,,고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 916-1번지,대구광역시 달서구 성서공단남로 164  (월암동),
동우화인켐(주) 대구공장,20100423,폐업 등,20100903,,,,,,,,,"다이오드, 트랜지스터 및 유사반도체 제조업",5종,,대기배출업소관리,대구광역시 달서구 갈산동 193번지,대구광역시 달서구 성서공단북로 261  (갈산동),
(주)진양오일씰 2공장,20100506,폐업 등,20130308,,,,,,,,,자동차부품 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1-216번지,대구광역시 달서구 성서공단로 194-18  (월암동),
세광라바,20100511,폐업 등,20130206,,,,,,,,,기타 고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1-77번지,대구광역시 달서구 성서공단남로23길 5 (월암동),
(주)휴메릭,20100517,폐업 등,20111220,,,,,,,,,금속압형제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 호림동 5-14번지,대구광역시 달서구 성서공단로 3  (호림동),
신광켐텍(주),20100531,운영중,,,,,,,,,,고무제품 제조업,4종,,대기배출업소관리,대구광역시 달서구 갈산동 400-90번지,대구광역시 달서구 성서공단로39길 104 (갈산동),
(주)세진폴리머,20100604,폐업 등,20130422,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 587-9번지,대구광역시 달서구 달서대로58길 45 (대천동),
(주)한영프론텍,20100607,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 달서구 월암동 1-93번지,대구광역시 달서구 성서공단로54길 48 (월암동),
정일폴리머,20100609,운영중,,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 587-1번지,대구광역시 달서구 달서대로64길 58 (대천동),
대양열처리,20100616,운영중,,,,,,,,,,,4종,,대기배출업소관리,,대구광역시 달서구 성서공단로47길 12 (장동),
해성금속,20090306,폐업 등,20140826,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 북구 침산동 789번지,대구광역시 북구 침산로67길 3 (침산동),
대성금속,20090420,폐업 등,20091006,,,,,,,,,기타 조립금속제품 제조 및 금속처리업,5종,,대기배출업소관리,대구광역시 북구 산격동 20-17번지,대구광역시 북구 검단북로2길 26  (산격동),
퍼펙트,20090429,폐업 등,20090601,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 212-12번지,대구광역시 북구 노원로17길 33-3  (노원동3가),
(주)삼양하이테크,20090511,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 201-1번지,대구광역시 북구 노원로17길 45 (노원동3가),
