사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)하나산업개발,20170222,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 달성군 현풍면 논공로 66, 2층",
(주)대흥산업,20030703,운영중,20040621,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월암동 944번지,대구광역시 달서구 성서서로 100 (월암동),704320
천일환경,20031010,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 장동 34-2   번지,,704190
유성환경,20040303,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 704번지,,704400
(주)유창환경,20051226,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 호산동 382-4   번지,,
(주)지구환경,20061010,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 성당동 655-2   번지,,704917
선우기업(주),20070709,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 이현동 42-527번지,대구광역시 달서구 문화회관길 145 (장기동),703830
(주)에스유산업,20080422,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 성당동 636-1번지 3층,"대구광역시 달서구 장기로 81  (성당동,3층)",700081
다음환경(주),20080708,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 죽전동 363-25번지,대구광역시 달서구 와룡로57길 56  (죽전동),704160
(주)창진,20130213,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,"대구광역시 달서구 월성동 895-7번지 대구화물터미널 410,411호",대구광역시 달서구 성서공단로 346 (월성동),704829
