사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
대구케어요양복지센터 대명점,20100601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 1120번지,,
앞산고을요양센터1,20100813,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동 1226번지 1층A,,
성심복지센터,20100816,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 1137-1번지 3층,,
애덕의 집,20080807,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 614-17번지,,
123노인요양공동생활가정,20080811,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 175-6번지,,
선정효요양센터,20140303,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
남대구1요양센터,20140425,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
남대구2요양센터,20140425,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
남대구3요양센터,20140425,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
남대구4요양센터,20140425,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
명인요양센터,20140501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동,,
효원실버타운A,20140701,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
효원실버타운B,20140701,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
앞산고을요양센터2,20100813,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동 1226번지 1층B,,
가람요양복지센터2,20130912,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
가람요양복지센터3,20130912,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
강산노인요양센터,20131108,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 대현동,,
미래요양센터,20140623,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 태전동,,
미래케어센터,20140623,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 태전동,,
효신노인요양센터,20141001,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동,,
e-햇살복지센터,20120913,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 구암동,,
온사랑요양원,20130424,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 읍내동,,
호산실버타운,20130515,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 관음동,,
온사랑요양원2,20130531,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 읍내동,,
가람요양복지센터1,20130912,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
상록수재활요양복지센터1,20111101,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
상록수재활요양복지센터2,20111101,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
한솔요양복지센터,20111214,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동2가,,
엘림실버요양원,20111220,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동,,
행복요양센터,20120224,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
선우요양복지센터2,20120514,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
행복한요양원1,20120522,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 207-1번지,,
행복한요양원2,20120522,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 207-1번지,,
상록수재활복지센터1,20120701,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
상록수재활복지센터2,20120701,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동,,
선우실버홈,20110126,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 340-33번지,,
부모사랑요양원,20110207,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 관음동 1360-15번지,,
행복한세상 노인복지센터,20110408,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 검단동 1145-4번지,,
로뎀나무실버홈,20110511,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 376-11번지,,
가람요양복지센터1,20110616,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동 905-2번지,,
가람요양복지센터2,20110616,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동 905-2번지,,
한성노인복지센터,20110629,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동1가 270-33번지,,
나비노인복지센터,20110706,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 침산동 3-4번지,,
선우요양복지센터,20110829,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 459-5번지,,
장원노인복지센터,20110906,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 340-2번지,,
한솔노인요양센터,20111001,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동2가 42-8번지,,
서변실버요양원,20111020,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동 1787-3번지,,
한솔요양복지센터,20091126,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동2가 378-26번지,,
대구케어요양복지센터,20100217,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 침산동 145-34번지,,
온사랑노인요양공동생활가정,20100412,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 읍내동 1206-4번지,,
e-편한요양센터,20101201,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 읍내동 1343-3번지,,
효심노인요양센터,20101202,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동1가 270-33번지,,
하나복지센터,20101208,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동 1783-7번지,,
한국노인요양공동생활시설,20090302,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동 892-2번지,,
동산전인치유센터,20090831,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 동천동 933-1번지,,
효신노인복지센터,20141001,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동,,
해뜨는요양원1,20141231,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
해뜨는요양원2,20141231,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
한아름노인복지센터,20150115,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 검단동,,
장원노인복지센터,20130903,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동,,
율하실버간호센터,20130917,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
진명실버홈,20131104,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 방촌동,,
