"특성별(1)",특성별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"특성별(1)",특성별(2),국가안보,국가안보,국가안보,자연재해,자연재해,자연재해,건축물 및 시설물,건축물 및 시설물,건축물 및 시설물,교통사고,교통사고,교통사고,화재,화재,화재,산업 재해,산업 재해,산업 재해,식량 안보,식량 안보,식량 안보,정보 보안,정보 보안,정보 보안,신종 전염병,신종 전염병,신종 전염병,범죄 위험,범죄 위험,범죄 위험,전반적인 사회안전,전반적인 사회안전,전반적인 사회안전
"특성별(1)",특성별(2),안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안
"경제활동상태",취업자,24.3,46.7,29.1,24.2,54.9,20.9,23.6,60.4,16.0,9.9,49.0,41.0,15.5,61.1,23.4,13.4,59.6,27.0,21.2,58.8,20.0,10.3,44.4,45.3,12.6,46.5,40.9,9.3,37.4,53.4,12.8,55.8,31.4
"경제활동상태",실업자/비경제활동인구,21.8,46.5,31.7,23.8,56.5,19.7,22.5,62.8,14.8,10.6,50.1,39.3,15.1,63.0,21.8,13.6,63.7,22.7,22.2,60.6,17.2,11.3,49.5,39.1,13.0,49.1,37.9,9.4,38.8,51.8,12.4,58.7,28.9
"주관적 만족도",만족,27.1,47.0,25.8,28.0,56.0,16.0,28.4,59.6,12.0,12.9,51.8,35.4,19.1,62.6,18.3,17.0,62.0,21.0,25.3,58.6,16.1,12.8,46.0,41.2,15.3,46.6,38.1,11.6,37.9,50.5,16.2,57.2,26.7
"주관적 만족도",보통,21.4,46.6,32.1,22.0,56.2,21.8,20.4,63.1,16.4,9.0,48.8,42.2,13.3,62.5,24.2,11.5,62.2,26.3,19.9,60.7,19.4,9.7,47.8,42.5,11.3,48.5,40.1,8.0,38.3,53.7,10.5,58.3,31.2
"주관적 만족도",불만족,14.5,44.5,41.0,17.3,52.2,30.5,14.1,61.7,24.2,6.0,44.1,50.0,9.7,57.6,32.7,9.0,57.2,33.8,15.9,59.1,25.0,8.2,46.9,44.9,10.2,48.5,41.2,6.4,37.6,55.9,8.5,52.0,39.6
"가구 월평균 소득",100만원 미만,21.7,48.2,30.1,20.7,58.3,21.1,19.4,63.9,16.7,11.2,49.7,39.1,14.6,61.0,24.4,13.1,64.2,22.7,21.6,62.4,16.0,11.4,60.4,28.2,12.1,51.7,36.2,10.4,43.0,46.6,12.5,60.8,26.6
"가구 월평균 소득",100~300만원 미만,24.4,46.4,29.2,23.8,55.1,21.1,21.8,61.5,16.7,9.7,49.4,40.8,15.2,60.6,24.2,13.3,59.2,27.5,21.1,59.7,19.2,10.6,47.6,41.8,12.9,47.2,39.8,8.6,39.0,52.5,11.8,57.4,30.8
"가구 월평균 소득",300~500만원 미만,26.1,44.6,29.4,24.6,55.1,20.3,24.0,59.8,16.1,10.4,48.9,40.7,16.5,60.2,23.3,14.4,58.7,26.9,21.9,56.4,21.7,10.6,41.7,47.6,12.9,45.0,42.1,10.3,37.0,52.7,13.7,56.6,29.6
"가구 월평균 소득",500만원 이상,33.4,43.0,23.6,34.1,52.7,13.3,34.8,54.4,10.9,13.8,50.0,36.2,21.0,58.8,20.2,17.5,57.9,24.6,27.8,54.7,17.4,14.1,39.6,46.4,17.9,46.4,35.7,14.5,39.8,45.6,21.1,54.5,24.4
"세대 구분",1인 가구,24.8,47.6,27.6,23.9,58.3,17.8,22.3,62.0,15.7,12.7,49.5,37.8,17.7,60.7,21.6,15.6,61.8,22.5,22.6,61.9,15.5,13.2,54.5,32.3,14.6,50.2,35.2,10.9,41.6,47.5,14.1,60.5,25.5
"세대 구분",1세대,27.1,41.9,31.0,26.3,53.8,19.9,24.8,59.9,15.4,11.7,48.3,40.0,16.0,60.2,23.8,15.4,59.2,25.4,25.8,56.4,17.8,12.6,49.9,37.5,13.2,46.3,40.5,10.5,38.6,50.9,14.1,58.3,27.6
"세대 구분",2세대,24.5,46.6,28.8,23.8,55.0,21.2,23.0,60.3,16.6,9.6,49.3,41.1,15.4,59.8,24.8,12.7,59.5,27.9,20.8,58.4,20.8,9.5,44.9,45.5,12.6,46.7,40.8,9.5,38.6,51.9,12.8,55.8,31.3
"세대 구분",3세대 이상,26.8,47.1,26.1,25.8,55.7,18.5,22.4,66.4,11.3,8.5,55.5,36.1,13.8,67.1,19.1,15.0,61.2,23.7,19.4,61.8,18.8,13.6,47.1,39.4,15.2,50.0,34.8,9.9,41.6,48.5,14.1,62.4,23.5
"거처 종류",주택(단독 연립),24.5,48.3,27.2,22.4,57.5,20.1,20.2,64.0,15.8,10.2,49.6,40.1,14.8,62.5,22.8,13.6,62.3,24.1,21.0,62.6,16.4,11.1,54.0,34.9,11.4,49.9,38.7,9.3,40.1,50.6,12.1,59.8,28.1
"거처 종류",아파트,25.0,44.7,30.4,25.5,54.2,20.2,25.0,59.3,15.8,10.3,50.0,39.7,15.9,59.8,24.4,14.0,58.7,27.4,22.8,56.2,21.0,10.6,44.2,45.2,13.5,46.1,40.4,10.2,39.6,50.2,13.8,57.1,29.1
"거처 종류",기타,29.3,43.5,27.2,27.0,54.2,18.8,25.6,56.7,17.7,14.2,45.3,40.5,22.2,54.8,23.0,15.6,57.9,26.5,22.8,59.4,17.8,14.4,45.0,40.5,20.1,45.5,34.4,12.3,35.7,52.0,17.0,51.4,31.6
