사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,건축연면적,기념품종류명,기획여행보험시작일자,기획여행보험종료일자,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,시설규모,시설면적,안내소유무,영문상호명,의무실유무,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
우전소극장,20111230,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,일반주거지역,대구광역시 남구 대명동 1892-31번지,대구광역시 남구 현충로 256 (대명동),705819
예술극장 엑터스토리,20111230,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,일반주거지역,대구광역시 남구 대명동 2130-44번지,대구광역시 남구 현충로 265 (대명동),705033
예전아트홀,20111230,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,일반주거지역,대구광역시 남구 대명동 2133-10번지,대구광역시 남구 명덕로 98-1 (대명동),705033
꿈꾸는 씨어터,20130308,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 1713-2번지 지하1층,"대구광역시 남구 현충로 148 (대명동, 지하1층)",705802
고도5층극장,20130604,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,,일반주거지역,대구광역시 남구 대명동 2133-2번지,"대구광역시 남구 명덕로 100, 5층 (대명동)",705816
Get Space,20140529,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,,일반주거지역,대구광역시 남구 대명동 2140-2번지 지하1층,대구광역시 남구 현충로 233 (대명동),705816
작은무대,20171113,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2133-54번지,"대구광역시 남구 계명중앙1길 1, 지하1층 (대명동)",
(재)대구광역시 동구문화재단 아양아트센터 아양홀,20040503,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 동구 효목동 1084번지,대구광역시 동구 효동로2길 24 (효목동),701843
아트홀,20090202,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,중심상업지역,대구광역시 동구 신천동 107-4번지 (8층),대구광역시 동구 동대구로 461 (신천동),701824
동부여성문화회관 공연장,20120503,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 동구 신암동 664-21번지,대구광역시 동구 신암북로11길 54-2 (신암동),701821
하모니아아트홀2관,20150421,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 동성로3가 120-21번지,대구광역시 중구 동성로1길 29-29 (동성로3가),700093
봉산문화회관 스페이스라온,20170712,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 봉산동 125번지 봉산문화회관,"대구광역시 중구 봉산문화길 77 (봉산동, 봉산문화회관)",
대덕문화전당 창공홀,20170621,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 1803-31번지,"대구광역시 남구 중앙대로45길 53 (대명동, 청소년 창작센터)",
대구오페라하우스 카메라타,20170904,운영중,,,,,,교육연구시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,일반상업지역,대구광역시 북구 침산동 105-2번지,대구광역시 북구 호암로 51 (침산동),

