사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,소방시설여부,시설면적,음향시설여부,자동환기여부,제작취급품목내용,조명시설유무,조명시설조도정보,주변환경명,지역구분명,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
시네마준,19961004,폐업 등,20031205,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 36-1번지,대구광역시 중구 동성로 49-1  (동성로2가),700092
웬,19961010,폐업 등,20050303,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 11-1번지,대구광역시 중구 동성로2길 27  (삼덕동1가),700411
빠데루,19961128,폐업 등,20030707,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 34-2번지,대구광역시 중구 동성로3길 8  (삼덕동1가),700411
코코 영화방,19961223,폐업 등,20140519,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 145-1번지,대구광역시 중구 동성로 20 (동성로2가),
담다디,19961220,폐업 등,20060607,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로3가 105번지,대구광역시 중구 동성로 10-1  (동성로3가),700093
영화보기,19970819,폐업 등,20040116,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 25-6번지,대구광역시 중구 동성로6길 25  (공평동),700150
영화보기(삼덕점),19970923,폐업 등,20050615,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 9-5번지,대구광역시 중구 동성로1길 29-30  (삼덕동1가),700411
고도디지털영화관,19971007,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 사일동 70번지,대구광역시 중구 중앙대로 406-20 (사일동),
축제,19971220,폐업 등,20041001,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 봉산동 9-1번지,대구광역시 중구 동성로2길 5-3  (봉산동),700822
영화보기(봉산점),19971125,폐업 등,20130801,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 봉산동 35-36번지,대구광역시 중구 동성로1길 46 (봉산동),
100 스크린,19980511,폐업 등,20090302,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 119번지,대구광역시 중구 동성로 21-1  (동성로2가),700092
시티,19980629,폐업 등,20110620,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 59-1번지,대구광역시 중구 동성로6길 60  (공평동),700150
스칼렛DVD영화관,19980826,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 34-2번지,대구광역시 중구 동성로6길 16 (공평동),
영화보기(중앙점),19980828,폐업 등,20041210,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 27-1번지,대구광역시 중구 동성로5길 74  (삼덕동1가),700411
코코,19990513,폐업 등,20080220,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 150-10번지,대구광역시 중구 동성로 24  (동성로2가),700092
영화보기(대백점),19990608,폐업 등,20060721,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로3가 18-2번지,대구광역시 중구 동성로 11  (동성로3가),700093
축제 2,19991004,폐업 등,20101201,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 8-3번지,대구광역시 중구 동성로1길 29-42  (삼덕동1가),700411
컬트 2,19991213,폐업 등,20040426,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로3가 120-2번지,대구광역시 중구 동성로1길 29-23  (동성로3가),700093
16MM,20000214,폐업 등,20061030,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 28-26번지,대구광역시 중구 동성로3길 38  (삼덕동1가),700411
M DVD 디지털 영화관,20000724,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 8-4번지,대구광역시 중구 동성로5길 22 (삼덕동1가),
탑,20000816,폐업 등,20070416,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 17-15번지,대구광역시 중구 동성로3길 39  (삼덕동1가),700411
시네마 엠,20000817,운영중,,,,,,,,,비디오물감상실업,,자동,,,,133.9,,,,,,,,,,,,,,대구광역시 중구 남산동 2267-34번지,대구광역시 중구 명덕로 93 (남산동),
무비타운,20001018,폐업 등,20050407,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 포정동 68-7번지,대구광역시 중구 경상감영길 132  (포정동),700010
몽 DVD 영화관,20001018,운영중,,,,,,,,,비디오물감상실업,,자동,,,,176.41,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 26-9번지,대구광역시 중구 동성로5길 70 (삼덕동1가),
벤허,20001018,폐업 등,20040831,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동문동 38-9번지,대구광역시 중구 동성로12길 9  (동문동),700180
필비디오방(대백점),20001027,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 55-13번지,대구광역시 중구 동성로6길 46 (공평동),
커플비디오방,20001027,폐업 등,20140102,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 45번지,대구광역시 중구 동성로 36 (동성로2가),
챔피언,20001109,폐업 등,20140514,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 9-3번지,대구광역시 중구 동성로1길 29-36 (삼덕동1가),
시네마존,20010512,폐업 등,20050630,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 16-8번지,대구광역시 중구 동성로3길 99  (공평동),700150
BK비디오방,20010808,폐업 등,20080123,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 18-7번지,대구광역시 중구 동성로5길 45  (삼덕동1가),700411
DVD씨네마홀,20010820,폐업 등,20070405,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 28-29번지,대구광역시 중구 동성로3길 36  (삼덕동1가),700411
영화여행,20010913,폐업 등,20041223,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 31-2번지,대구광역시 중구 동성로3길 12-21  (삼덕동1가),700411
DMZ디지탈영화관,20010919,폐업 등,20050324,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 59-2번지,대구광역시 중구 동성로6길 58  (공평동),700150
씨네스테이션,20011112,폐업 등,20071004,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 문화동 6-13번지,대구광역시 중구 국채보상로123길 23  (문화동),700160
점프,20011127,폐업 등,20131108,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 53-6번지,대구광역시 중구 동성로4길 30 (삼덕동1가),
칸DVD영화관,20011205,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로3가 28-1번지,대구광역시 중구 동성로 5 (동성로3가),
굿디브디,20020119,운영중,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 17-23번지,대구광역시 중구 동성로5길 52 (삼덕동1가),
굿디비디(공평점),20030422,폐업 등,20130215,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 55-54번지,대구광역시 중구 동성로6길 36 (공평동),
조이 디지털 영화관,20030808,폐업 등,20140616,,,,,,,,비디오물감상실업,,자동,,,,208.27,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 17-5번지,대구광역시 중구 동성로5길 44 (삼덕동1가),
디브이디매니아,20030927,폐업 등,20140901,,,,,,,,비디오물감상실업,,자동,,,,298.86,,,,,,,,,,,,,,대구광역시 중구 공평동 16-11번지,대구광역시 중구 동성로3길 83 (공평동),
팝스DVD영화관(동성로점),20041102,폐업 등,20081110,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,247,,,,,,유흥업소밀집지역,상업지역,,,1.02,,,,대구광역시 중구 공평동 55-1번지,대구광역시 중구 동성로6길 40  (공평동),700150
