사업장명,정제도로명주소
동서타운경로당,대구광역시 달서구 학산로7길 5 
2차보성경로당,대구광역시 달서구 학산로7길 27 
서한타운경로당,대구광역시 달서구 학산로 15
월성4주공경로당,대구광역시 달서구 구마로14남길 55 
월진경로당,대구광역시 달서구 월배로 117
대곡금강경로당,대구광역시 달서구 비슬로540길 14 
대곡청구경로당,대구광역시 달서구 상화로8길 26
월평경로당,대구광역시 달서구 월배로40길 27-21 
상인은행경로당,대구광역시 달서구 월곡로 112 
월성주공5단지경로당,대구광역시 달서구 구마로12길 89 
구암경로당,대구광역시 달서구 월배로75길 50-12
월성2단지경로당,대구광역시 달서구 월성로 77 
월성3단지경로당,대구광역시 달서구 학산로7길 39 
죽전경로당,대구광역시 달서구 와룡로52안길 55
동백만수당경로원,대구광역시 달서구 월배로32안길 35
조암경로당,대구광역시 달서구 조암남로14안길 40 
월암분회경로당,대구광역시 달서구 조암로 94
진천경로당,대구광역시 달서구 상화북로 46-1 
주공3단지경로당,대구광역시 달서구 월배로 280
청구리린2차경로당,대구광역시 달서구 구마로36길 20 
청학정경로당,대구광역시 달서구 달구벌대로323길 39 
장관빌라경로당,대구광역시 달서구 중흥로 68
사월화성파크드림 2단지 경로당,대구광역시 수성구 달구벌대로 3304-1 
두견화경로당,대구광역시 서구 국채보상로36길 42 
청수경로당,대구광역시 서구 국채보상로52길 27-35
평리5동경로당,대구광역시 서구 국채보상로37안길 22 
원대1.2가경로당,대구광역시 서구 달서천로 405-3 
명우경로당,대구광역시 서구 평리로 214 
내서경로당,대구광역시 서구 달구벌대로361길 35-29 
시영내당(아)경로당,대구광역시 서구 서대구로8길 15 
홍실1차아파트경로당,대구광역시 서구 서대구로8길 49 
내당2동장수경로당,대구광역시 서구 큰장로9길 9-3 
삼화경로당,대구광역시 서구 달구벌대로373길 7-5 
내당2동경로당,대구광역시 서구 큰장로15길 14-20 
내당경로당,대구광역시 서구 평리로 408-13
천일경로당,대구광역시 서구 달구벌대로373길 2-24 
삼익맨션경로당,대구광역시 서구 서대구로 25 
광장타운경로당,대구광역시 서구 달구벌대로 1707
내당4동경로당,대구광역시 서구 서대구로3길 43
당산경로당,대구광역시 서구 달서로39길 24
원상경로당,대구광역시 서구 통학로49길 30-27
만수정경로당,대구광역시 서구 북비산로61길 34
인동촌경로당,대구광역시 서구 북비산로74길 17
달성경로당,대구광역시 서구 달성공원로 13-14
모범경로당,대구광역시 서구 달서로26길 35-8
정화경로당,대구광역시 서구 달서로14길 13
상록경로당,대구광역시 서구 달서로18길 42-3
비산5동 제1경로당,대구광역시 서구 서대구로68길 60-9
비산7동제1경로당,대구광역시 서구 달서천로55길 32 
사월화성파크드림3단지경로당,대구광역시 수성구 달구벌대로 3304-2
범어화성파크드림,대구광역시 수성구 범어천로 180 
신매효성백년가야경로당,대구광역시 수성구 달구벌대로 3233 
신매한라하우젠트노인정,대구광역시 수성구 달구벌대로 3310 
캐슬골드파크 5단지 경로당,대구광역시 수성구 청수로 214 
캐슬골드파크 4단지 경로당,대구광역시 수성구 청수로 261
수성서한이다음 경로당,대구광역시 수성구 수성로69길 15
태왕레전드경로당,대구광역시 수성구 욱수천로 27 
수성우방팔레스경로당,대구광역시 수성구 수성로 400 
동신실리안경로당,대구광역시 수성구 파동로 209
수성태왕하이츠 리버뷰 경로당,대구광역시 수성구 달구벌대로454길 9
태왕아너스경로당,대구광역시 수성구 청호로 345
만촌태왕리더스경로당,대구광역시 수성구 무열로 47
화성파크뷰경로당,대구광역시 수성구 파동로 19 
만촌화성파크스위트경로당,대구광역시 수성구 화랑로34길 141 
화성파트스위트경로당,대구광역시 수성구 화랑로34길 141
수성대림e-편한세상경로당,대구광역시 수성구 들안로73길 50-7
태성맨션 경로당,대구광역시 수성구 고산로 50 
두성타운경로당,대구광역시 수성구 지범로 300 
정화우방팔레스경로당,대구광역시 수성구 수성로 135
범물삼주타운노인정,대구광역시 수성구 범안로8길 35 
이천경로당,대구광역시 수성구 달구벌대로574길 192-1
현대백조경로당,대구광역시 달서구 와룡로15길 86
신정경로당,대구광역시 달서구 상화로9길 81-17
낙원경로당,대구광역시 달서구 월곡로45길 49 
산호타운경로당,대구광역시 달서구 상화북로 159 
은하경로당,대구광역시 달서구 상화북로 137 
송영경로당,대구광역시 달서구 중흥로16길 84-12 
