사업장명,정제도로명주소
민들레APT경로당,대구광역시 북구 검단로 255
노곡제2경로당,대구광역시 북구 부엉길 28-4
팔달경로당,대구광역시 북구 장태실길 33
매천경로당,대구 북구 매천로17길 17?
청암APT경로당,대구광역시 북구 관음동로 128
태전협화APT경로당,대구광역시 북구 칠곡중앙대로51길 6
연암경로당,대구광역시 북구 연암공원로32길 64-3
한마음경로당,대구광역시 북구 칠성남로12길 20-10
주공4단지경로당,대구광역시 북구 복현로 50
81시영APT경로당,대구광역시 북구 동북로49길 10
"82,83시영APT경로당",대구광역시 북구 동북로49길 15
복현큰마을경로당,대구광역시 북구 공항로15길 15-21
광명경로당,대구광역시 북구 동북로65길 13
봉우경로당,대구광역시 북구 복현로 37
한라맨션경로당,대구광역시 북구 공항로5길 6
장미APT경로당,대구광역시 북구 공항로 31
검단 경로당,대구광역시 북구 검단동로4길 13-50
검단부녀경로당,대구광역시 북구 검단동로4길 13-50
서변경로당,대구광역시 북구 환성정길 17-1
동변경로당,대구광역시 북구 동변로24길 14
동변(여)경로당,대구광역시 북구 동변로24길 14
구암제1경로당,대구광역시 북구 구암로54길 5
태전2동경로당,대구광역시 북구 학정로 111-18
노곡경로당,대구광역시 북구 노곡로 25
작원동경로당,대구광역시 북구 작원2길 6
고성2.3가경로당,대구광역시 북구 고성북로 35-13
고성1가경로당,대구광역시 북구 칠성남로2길 63
침산1동부녀경로당,대구광역시 북구 침산남로서9길 6-4
옥산경로당,대구광역시 북구 침산남로7길 50-21
산격1동경로당,대구광역시 북구 연암로 86
산격제3경로당,대구광역시 북구 연암로33길 12-1
강변경로당,대구광역시 북구 호국로 25-3
수정아파트경로당,대구광역시 북구 검단북로 22
신기경로당,대구광역시 북구 대불서길 53-9
산격에덴아파트경로당,대구광역시 북구 동북로37길 58-17
산격3동경로당,대구광역시 북구 대학로17길 11
월배힐스테이트경로당,대구광역시 달서구 조암남로 132
본리롯데캐슬1차경로당,대구광역시 달서구 대명천로 101
상인중석타운경로당,대구광역시 달서구 월곡로 291
성당Encrypted,대구광역시 달서구 장기로 115
상인역e-편한세상노인회,대구광역시 달서구 월서로 14
함지경로당,대구광역시 북구 구암로41길 14-7
남문고을경로당,대구광역시 북구 구리로34길 57
백세경로당,대구광역시 북구 동북로 149-3
대불경로당,대구광역시 북구 대불로 11-1
강북2차화성와이드경로당,대구광역시 북구 태전로3길 24
강북화성파크드림경로당,대구광역시 북구 칠곡중앙대로 312
태전휴먼시아1단지 경로당,대구광역시 북구 매전로 73
대현e-편한세상경로당,대구광역시 북구 대현로10길 82
성창경로당,대구광역시 북구 관음중앙로 37
남영타운경로당,대구광역시 북구 침산남로9길 167
소라경로당,대구광역시 북구 복현로 104-11
문화경로당,대구광역시 북구 동북로37길 9-17
복현푸르지오경로당,대구광역시 북구 동북로 345
성동경로당,대구광역시 수성구 성동로 166
학정청아람경로당,대구광역시 북구 학정로110길 29
대현뜨란채경로당,대구광역시 북구 대현남로 28
태왕리더스경로당,대구광역시 북구 침산남로 80
명성푸르지오 경로당,대구광역시 북구 침산로 153
침산동코오롱하늘채2단지경로당,대구광역시 북구 중앙대로 591
태왕아너스복현경로당,대구광역시 북구 복현로 105
침산동코오롱하늘채1단지경로당,대구광역시 북구 침산로22길 31
칠곡1차한라하우젠트경로당,대구광역시 북구 학남로 10
고촌경로당,대구광역시 북구 고촌길 157-3
태복경로당,대구광역시 북구 학정로 11-14
매천휴먼시아2단지경로당,대구광역시 북구 매전로4길 9
칠곡7주공경로당,대구광역시 북구 학남로 60
이곡경로당,대구광역시 북구 이곡길 25
영남네오빌아트경로당,대구광역시 북구 동천로 97
금오아파트경로당,대구광역시 북구 연암로25길 11
칠곡네스빌경로당,대구광역시 북구 동천로 155
동서변리벤빌경로당,대구광역시 북구 서변로 106
롯데캐슬오페라경로당,대구광역시 북구 침산남로 160
동서변월드메르디앙경로당,대구광역시 북구 서변로 26
침산1차푸르지오경로당,대구광역시 북구 침산로21길 23
침산삼정그린코아경로당,대구광역시 북구 중앙대로 570
침산3동제2경로당,대구광역시 북구 침산로48길 10
서변그린타운경로당,대구광역시 북구 호국로57길 20
노원3가공단경로당,대구광역시 북구 3공단로14길 18-7 
화성리버파크2단지경로당,대구광역시 북구 서변로 50
침산3차푸르지오A경로당,대구광역시 북구 침산남로 130
동화골든빌아파트경로당,대구광역시 북구 동천로 156
부영e-그린타운경로당,대구광역시 북구 동천로24길 12
진목경로당,대구광역시 북구 오봉로 142
동서리치모아경로당,대구광역시 북구 서변로 88
U대회선수촌2단지경로당,대구광역시 북구 동변로 24
선수촌1단지경로당,대구광역시 북구 동변로 50
칠곡7단지부영아파트경로당,대구광역시 북구 구암로49길 10
영남네오빌블루경로당,대구광역시 북구 서변로 120
칠성우방맨션노인회,대구광역시 북구 중앙대로105길 22
칠곡6단지부영아파트경로당,대구광역시 북구 구암로49길 24
칠곡3단지부영아파트노인정,대구광역시 북구 구암서로 7
칠곡5단지부영아파트노인정,대구광역시 북구 대천로 132
화성센트럴파크경로당,대구광역시 북구 대천로 100
우방하이츠경로당,대구광역시 북구 구리로 26
은마아파트경로당,대구광역시 북구 태전로 51
복현화성타운경로당,대구광역시 북구 복현로 173
그린빌3단지아파트,대구광역시 북구 구암서로 41
동화타운경로당,대구광역시 북구 칠곡중앙대로95길 12
칠곡현대아파트경로당,대구광역시 북구 구리로 254
칠곡그린빌2단지경로당,대구광역시 북구 구암서로 70
늘품경로당,대구광역시 달서구 선원로33길 79-8
월성동삼성래미안경로당,대구광역시 달서구 상원로 143
유천포스코더?？경로당,대구광역시 달서구 달서대로 67
성당 코오롱하늘채 경로당,대구광역시 달서구 장기로 160
장기주공 아파트 경로당,대구광역시 달서구 용산로 88 
롯데캐슬레이크 경로당,대구광역시 달서구 상화로58길 86
대곡청구제네스아파트 경로당,대구광역시 달서구 상화로 90
진천코오롱하늘채아파트 경로당,대구광역시 달서구 상화로 65
율지경로당,대구광역시 달서구 달구벌대로 1312-8
대곡한라하우젠트경로당,대구광역시 달서구 비슬로 2724
이안진천아파트 경로당,대구광역시 달서구 진천로18길 10
