상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
21092543,아이뜰어린이집,유아교육,대구광역시 동구 아양로7길 12,35.8833389,128.6177598
21096617,율하어린이집,유아교육,대구광역시 동구 안심로16길 45,35.864507,128.694792
21113249,무지개어린이집,유아교육,대구광역시 서구 평리로 255,35.8630567,128.5512332
21113255,신기어린이집,유아교육,대구광역시 동구 율하동로 76,35.8656224,128.7032304
21114012,수정어린이집,유아교육,대구광역시 동구 아양로41길 62,35.8897663,128.6338139
21123058,소화어린이집,유아교육,대구광역시 남구 현충로39길 74,35.8500685,128.5771741
21123684,은아어린이집,유아교육,대구광역시 서구 서대구로41길 10,35.876913,128.5537046
21126507,사랑어린이집,유아교육,대구광역시 서구 통학로48길 35,35.8813241,128.5672183
21127639,라온어린이집,유아교육,대구광역시 동구 아양로 218,35.883607,128.6363299
21130416,대구의료원어린이집,유아교육,대구광역시 서구 평리로33길 13,35.8601615,128.5409425
21138697,무지개어린이집,유아교육,대구광역시 남구 양지로 63,35.8511235,128.5772592
21140759,동구청어린이집,유아교육,대구광역시 동구 신암남로 175-1,35.8848904,128.6320783
21151716,가람어린이집,유아교육,대구광역시 동구 아양로2길 24,35.879585,128.6158169
21159118,금비어린이집,유아교육,대구광역시 달성군 다사읍 대실역북로 26,35.8585531,128.4685161
21159621,유리어린이집,유아교육,대구광역시 북구 침산남로37길 5,35.8879331,128.595413
21167034,딸기어린이집,유아교육,대구광역시 북구 구암로49길 24,35.9341198,128.5632818
21167563,도담도담어린이집,유아교육,대구광역시 달서구 상원로 143,35.8202928,128.5286878
21169474,동심어린이집,유아교육,대구광역시 달서구 상화로51길 14,35.8094116,128.542539
21173357,평화어린이집,유아교육,대구광역시 달서구 성서동로 350,35.8516974,128.5165254
21174071,동화아이어린이집,유아교육,대구광역시 달서구 상인서로 75,35.8163243,128.5414307
21174952,열린어린이집,유아교육,대구광역시 수성구 고산로4길 62,35.8309807,128.7048648
21175530,잼잼영아어린이집,유아교육,대구광역시 북구 칠곡중앙대로53길 32,35.9189168,128.5428814
21178070,초록어린이집,유아교육,대구광역시 달서구 선원남로 181,35.8580967,128.519884
21182130,희망어린이집,유아교육,대구광역시 수성구 달구벌대로618길 33,35.8409504,128.696941
21182521,미소어린이집,유아교육,대구광역시 수성구 범어로32길 26,35.8648185,128.6366204
21183988,웃는어린이집,유아교육,대구광역시 북구 학남로 100,35.9447972,128.5681614
21192253,하늘꿈어린이집,유아교육,대구광역시 수성구 지범로40길 6,35.8192605,128.6403367
21194790,키즈하버드어린이집,유아교육,대구광역시 달서구 용산로 254,35.8596259,128.5317036
