2015 년 행정구역 배출량,,,,,,,,,,,,,,
,,,,,,조사년도,오염물질,,,,,,,
,,,,,,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,"2015년 (단위:kg , 비산먼지 포함)"
시도,시군구,배출원대분류,배출원중분류,배출원소분류,연료대분류,CO,NOx,SOx,TSP,PM10,PM2.5,VOC,NH3,BC
서울특별시,중구,도로이동오염원,이륜차,50cc 미만,휘발유,"15,225",74,1,,,,875,5,
서울특별시,중구,도로이동오염원,이륜차,50cc 이상,휘발유,"65,513","5,036",14,,,,"4,907",86,
서울특별시,중구,도로이동오염원,이륜차,100cc 이상,휘발유,"192,226","14,777",41,,,,"14,398",253,
서울특별시,중구,도로이동오염원,이륜차,260cc 이상,휘발유,"9,478","1,833",4,,,,992,23,
서울특별시,중구,비도로이동오염원,철도,기관차,경유,"3,817","9,319",237,602,602,554,"1,544",16,427
서울특별시,중구,비도로이동오염원,철도,동차,경유,49,125,4,9,9,8,18,,6
서울특별시,중구,비도로이동오염원,건설장비,불도저,경유,"7,133","14,045",4,762,762,701,"2,229",3,541
서울특별시,중구,비도로이동오염원,건설장비,로우더,경유,"32,737","65,092",25,"3,486","3,486","3,207","8,830",18,"2,474"
서울특별시,중구,비도로이동오염원,건설장비,지게차,경유,"152,311","320,931",131,"18,082","18,082","16,635","43,494",92,"12,830"
서울특별시,중구,비도로이동오염원,건설장비,굴삭기,경유,"162,815","317,659",155,"17,254","17,254","15,874","36,834",112,"12,242"
서울특별시,중구,비도로이동오염원,건설장비,기중기,경유,"21,842","71,120",23,"2,772","2,772","2,550","8,332",16,"1,967"
서울특별시,중구,비도로이동오염원,건설장비,콘크리트펌프,경유,"13,523","23,718",18,556,556,512,"4,212",13,395
서울특별시,중구,비도로이동오염원,건설장비,로울러,경유,"8,064","15,865",6,891,891,819,"2,338",4,632
서울특별시,중구,비도로이동오염원,건설장비,공기압축기,경유,"7,998","26,022",9,"1,005","1,005",925,"3,385",7,713
서울특별시,중구,비도로이동오염원,건설장비,천공기,경유,"4,359","14,274",5,555,555,510,"1,811",4,394
서울특별시,중구,폐기물처리,폐기물소각,생활폐기물,기타,"1,884","6,781","1,507",188,136,123,75,,2
서울특별시,중구,폐기물처리,폐기물소각,사업장폐기물(플레어링 제외),기타,,,,,,,,,
서울특별시,중구,폐기물처리,기타 폐기물 처리,산업폐수 처리,기타,,,,,,,,2,
서울특별시,중구,기타 면오염원,산불 및 화재,일반화재,기타,"35,242",830,,"2,275","1,446","1,301","2,915",,57
