사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,기념품종류명,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
애플트리,20171120,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 신서동 520-1번지 이마트 반야월점 1층,"대구광역시 동구 안심로 389-2, 1층 (신서동, 이마트 반야월점)",
(주)엘에스씨,20160324,휴업 등,,20180808,20181231,,,,근린생활시설,,,,,,,신고유원시설업,,Y,,,,,100,100,Y,,,,,,기타,일반주거지역,대구광역시 달성군 다사읍 죽곡리 723-2번지,대구광역시 달성군 다사읍 강정본길 62,
$10 House,20161013,폐업 등,20170209,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 39-10,대구광역시 중구 동성로 52-2 (동성로2가),
하이점핑,20150109,운영중,,,,,,,근린생활시설,,,,2,,,신고유원시설업,,,,,,,311,310.9,,,,,,,기타,일반주거지역,대구광역시 남구 대명동 784-8번지,대구광역시 남구 대명로 193 (대명동),705805
동아테마랜드1호점,20030310,폐업 등,20090921,,,,,,,,,,,,유원시설업,신고유원시설업,N,N,,,,,160,160,N,,N,,,,,,대구광역시 북구 읍내동 1343-6번지 동아백화점 강북점 8층,,702849
봉봉랜드,20100929,폐업 등,20140224,,,,,,,,,,1,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 칠성동2가 89-1번지,,702062
테마파크,20110630,폐업 등,20120731,,,,,,,,,베이비골프5대,,,,신고유원시설업,,,,,,,,,,,,,,,,,"대구광역시 북구 동천동 900-1번지 뉴로데오빌딩3층                (유기기구:베이비골프(골프퍼팅기) 5대, 신고면적:259.55㎡)","대구광역시 북구 동천로 128, 3층 (동천동, 뉴로데오빌딩)     *유기기구:베이비골프 5대, 신고면적:259.55㎡)",702885
에듀플레이 키즈랜드,20140127,폐업 등,20140301,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 산격동 1676번지 1층,"대구광역시 북구 유통단지로 90, 1층 (산격동)",702712
워터페스티벌,20140704,폐업 등,20140824,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 산격동 1676번지,대구광역시 북구 유통단지로 90 (산격동),702712
타요키즈카페 대구월성점,20170727,운영중,,,,,,,,,,,2,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 월성동 1852번지,"대구광역시 달서구 조암로 17, 7층 302호 (월성동)",
맥스라이더 상인점,20171102,운영중,,,,,,,,,,,1,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 상인동 171-1번지 상인 대성 스카이렉스,"대구광역시 달서구 월배로 183, 지하2층 XJ,Y10호호 (상인동, 상인 대성 스카이렉스)",
키다리방방,20150325,폐업 등,20151203,,,,,,,,,,0,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 서구 평리동 1535-13번지,"대구광역시 서구 국채보상로 163, 3층 (평리동)",703850
(주)토탈커뮤니케이션즈,20140626,폐업 등,20170827,,,,,,,,,,1,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 봉무동 1545번지,대구광역시 동구 팔공로49길 16 (봉무동),701170
신천놀이랜드,20110418,폐업 등,20130218,,,,,,,,,"인형뽑기 1대, 미니농구 1대",,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 신천동 335-1번지 지하2층,대구광역시 동구 동부로26길 25 (신천동),701024
